Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
894,Qh9d,Qh,9d,Offsuit,Q9o,83
895,Qh9h,Qh,9h,Suited,Q9s,25
896,Qh9s,Qh,9s,Offsuit,Q9o,83
897,QhTc,Qh,Tc,Offsuit,QTo,49
898,QhTd,Qh,Td,Offsuit,QTo,49
899,QhTh,Qh,Th,Suited,QTs,15
900,QhTs,Qh,Ts,Offsuit,QTo,49
901,QhJc,Qh,Jc,Offsuit,QJo,35
902,QhJd,Qh,Jd,Offsuit,QJo,35
903,QhJh,Qh,Jh,Suited,QJs,13
904,QhJs,Qh,Js,Offsuit,QJo,35
905,QsQh,Qh,Qs,Pair,QQ,3
906,Qs2c,Qs,2c,Offsuit,Q2o,146
907,Qs2d,Qs,2d,Offsuit,Q2o,146
908,Qs2h,Qs,2h,Offsuit,Q2o,146
909,Qs2s,Qs,2s,Suited,Q2s,75
910,Qs3c,Qs,3c,Offsuit,Q3o,144
911,Qs3d,Qs,3d,Offsuit,Q3o,144
912,Qs3h,Qs,3h,Offsuit,Q3o,144
913,Qs3s,Qs,3s,Suited,Q3s,72
914,Qs4c,Qs,4c,Offsuit,Q4o,143
915,Qs4d,Qs,4d,Offsuit,Q4o,143
916,Qs4h,Qs,4h,Offsuit,Q4o,143
917,Qs4s,Qs,4s,Suited,Q4s,71
918,Qs5c,Qs,5c,Offsuit,Q5o,141
919,Qs5d,Qs,5d,Offsuit,Q5o,141
920,Qs5h,Qs,5h,Offsuit,Q5o,141
921,Qs5s,Qs,5s,Suited,Q5s,69
922,Qs6c,Qs,6c,Offsuit,Q6o,137
923,Qs6d,Qs,6d,Offsuit,Q6o,137
924,Qs6h,Qs,6h,Offsuit,Q6o,137
925,Qs6s,Qs,6s,Suited,Q6s,66
926,Qs7c,Qs,7c,Offsuit,Q7o,131
927,Qs7d,Qs,7d,Offsuit,Q7o,131
928,Qs7h,Qs,7h,Offsuit,Q7o,131
929,Qs7s,Qs,7s,Suited,Q7s,61
930,Qs8c,Qs,8c,Offsuit,Q8o,115
931,Qs8d,Qs,8d,Offsuit,Q8o,115
932,Qs8h,Qs,8h,Offsuit,Q8o,115
933,Qs8s,Qs,8s,Suited,Q8s,43
934,Qs9c,Qs,9c,Offsuit,Q9o,83
935,Qs9d,Qs,9d,Offsuit,Q9o,83
936,Qs9h,Qs,9h,Offsuit,Q9o,83
937,Qs9s,Qs,9s,Suited,Q9s,25
938,QsTc,Qs,Tc,Offsuit,QTo,49
939,QsTd,Qs,Td,Offsuit,QTo,49
940,QsTh,Qs,Th,Offsuit,QTo,49
941,QsTs,Qs,Ts,Suited,QTs,15
942,QsJc,Qs,Jc,Offsuit,QJo,35
943,QsJd,Qs,Jd,Offsuit,QJo,35
944,QsJh,Qs,Jh,Offsuit,QJo,35
945,QsJs,Qs,Js,Suited,QJs,13
946,Kc2c,Kc,2c,Suited,K2s,60
947,Kc2d,Kc,2d,Offsuit,K2o,135
948,Kc2h,Kc,2h,Offsuit,K2o,135
949,Kc2s,Kc,2s,Offsuit,K2o,135
950,Kc3c,Kc,3c,Suited,K3s,59
951,Kc3d,Kc,3d,Offsuit,K3o,133
952,Kc3h,Kc,3h,Offsuit,K3o,133
953,Kc3s,Kc,3s,Offsuit,K3o,133
954,Kc4c,Kc,4c,Suited,K4s,58
955,Kc4d,Kc,4d,Offsuit,K4o,132
956,Kc4h,Kc,4h,Offsuit,K4o,132
957,Kc4s,Kc,4s,Offsuit,K4o,132
958,Kc5c,Kc,5c,Suited,K5s,55
959,Kc5d,Kc,5d,Offsuit,K5o,128
960,Kc5h,Kc,5h,Offsuit,K5o,128
961,Kc5s,Kc,5s,Offsuit,K5o,128
962,Kc6c,Kc,6c,Suited,K6s,53
963,Kc6d,Kc,6d,Offsuit,K6o,125
964,Kc6h,Kc,6h,Offsuit,K6o,125
965,Kc6s,Kc,6s,Offsuit,K6o,125
966,Kc7c,Kc,7c,Suited,K7s,44
967,Kc7d,Kc,7d,Offsuit,K7o,122
968,Kc7h,Kc,7h,Offsuit,K7o,122
969,Kc7s,Kc,7s,Offsuit,K7o,122
970,Kc8c,Kc,8c,Suited,K8s,37
971,Kc8d,Kc,8d,Offsuit,K8o,112
972,Kc8h,Kc,8h,Offsuit,K8o,112
973,Kc8s,Kc,8s,Offsuit,K8o,112
974,Kc9c,Kc,9c,Suited,K9s,22
975,Kc9d,Kc,9d,Offsuit,K9o,81
976,Kc9h,Kc,9h,Offsuit,K9o,81
977,Kc9s,Kc,9s,Offsuit,K9o,81
978,KcTc,Kc,Tc,Suited,KTs,14
979,KcTd,Kc,Td,Offsuit,KTo,45
980,KcTh,Kc,Th,Offsuit,KTo,45
981,KcTs,Kc,Ts,Offsuit,KTo,45
982,KcJc,Kc,Jc,Suited,KJs,9
983,KcJd,Kc,Jd,Offsuit,KJo,31
984,KcJh,Kc,Jh,Offsuit,KJo,31
985,KcJs,Kc,Js,Offsuit,KJo,31
986,KcQc,Kc,Qc,Suited,KQs,7
987,KcQd,Kc,Qd,Offsuit,KQo,20
988,KcQh,Kc,Qh,Offsuit,KQo,20
989,KcQs,Kc,Qs,Offsuit,KQo,20
990,KdKc,Kc,Kd,Pair,KK,2
991,KhKc,Kc,Kh,Pair,KK,2
992,KsKc,Kc,Ks,Pair,KK,2
993,Kd2c,Kd,2c,Offsuit,K2o,135
994,Kd2d,Kd,2d,Suited,K2s,60
995,Kd2h,Kd,2h,Offsuit,K2o,135
996,Kd2s,Kd,2s,Offsuit,K2o,135
997,Kd3c,Kd,3c,Offsuit,K3o,133
998,Kd3d,Kd,3d,Suited,K3s,59
999,Kd3h,Kd,3h,Offsuit,K3o,133
1000,Kd3s,Kd,3s,Offsuit,K3o,133
1001,Kd4c,Kd,4c,Offsuit,K4o,132
1002,Kd4d,Kd,4d,Suited,K4s,58
1003,Kd4h,Kd,4h,Offsuit,K4o,132
1004,Kd4s,Kd,4s,Offsuit,K4o,132
1005,Kd5c,Kd,5c,Offsuit,K5o,128
1006,Kd5d,Kd,5d,Suited,K5s,55
1007,Kd5h,Kd,5h,Offsuit,K5o,128
1008,Kd5s,Kd,5s,Offsuit,K5o,128
1009,Kd6c,Kd,6c,Offsuit,K6o,125
1010,Kd6d,Kd,6d,Suited,K6s,53
1011,Kd6h,Kd,6h,Offsuit,K6o,125
1012,Kd6s,Kd,6s,Offsuit,K6o,125
1013,Kd7c,Kd,7c,Offsuit,K7o,122
1014,Kd7d,Kd,7d,Suited,K7s,44
1015,Kd7h,Kd,7h,Offsuit,K7o,122
1016,Kd7s,Kd,7s,Offsuit,K7o,122
1017,Kd8c,Kd,8c,Offsuit,K8o,112
1018,Kd8d,Kd,8d,Suited,K8s,37
1019,Kd8h,Kd,8h,Offsuit,K8o,112
1020,Kd8s,Kd,8s,Offsuit,K8o,112
